,logFC,logCPM,F,PValue,FDR
Scgb3a1,2.189852382,0.841727746,5.138516311,0.038791021,0.194656726
Col9a2,2.306203918,-0.696952183,4.979869172,0.041501837,0.202818585
F10,0.679534435,2.594889765,4.577967553,0.049421429,0.225323475
Ptn,0.318602863,5.673261948,4.547212036,0.050097245,0.226950682
Tshb,-3.983969751,0.003558166,4.4347146,0.055477714,0.241984855
Fgfr4,0.828988421,2.278309498,4.301127415,0.055913638,0.243133373
Nts,0.704759474,4.937062628,4.154309741,0.059761726,0.252316571
Hbegf,0.295662005,5.87953215,4.151672989,0.059833635,0.252503733
Lifr,-0.162792781,6.978055978,3.934940731,0.066109418,0.268767662
Pros1,0.165984324,8.199333809,3.809672177,0.070091101,0.279129653
Rspo3,0.673479294,2.040986281,3.708780439,0.073505628,0.287259793
Gdf3,1.169201512,1.140205464,3.689300292,0.074187424,0.288601215
Lepr,-0.309190165,6.09112651,3.564217917,0.078748699,0.298173578
Csf3r,0.860880256,4.436732174,3.484362847,0.081835382,0.304570668
Col2a1,1.362577821,-0.331478893,3.495140583,0.084521504,0.310279324
Sorl1,-0.431099633,3.987928658,3.259207201,0.091347797,0.324097949
C3,-0.337081058,12.93701971,3.216198765,0.093312199,0.328205855
Nrp1,0.171113365,8.198337788,3.158774083,0.096014595,0.334116925
Gdnf,0.791239396,1.957324116,2.977438886,0.105187639,0.353995746
Ddr1,0.347530628,4.604809519,2.97003471,0.105584101,0.354758234
Calca,2.369523447,-2.091460243,3.006603803,0.106851688,0.357562938
Lep,4.113563094,-1.897978676,2.83810346,0.116187773,0.376751249
Il1f9,1.108541685,4.031126281,2.770939824,0.116954901,0.3783113
Camp,2.818750907,-1.881245198,2.763061798,0.117434569,0.379450218
Egfr,-0.177396315,7.662571112,2.731652505,0.119370886,0.382601136
Gm1123,-3.272917608,-1.772706223,2.707487097,0.124122535,0.390881852
Ccl24,0.705661961,1.419571754,2.626302534,0.126155379,0.39366584
Cd209a,1.734100572,-0.368496526,2.373603402,0.14445136,0.424640377
Fgf7,-0.19780733,5.129584553,2.370870437,0.14466643,0.424925728
Ghrl,1.388212493,-0.65959791,2.310470564,0.149522018,0.432739876
Il17rb,-1.171368667,-0.467551902,2.209395967,0.158107092,0.444579079
Il13,-2.570280108,-1.635696566,2.188282331,0.159977009,0.446545581
Alcam,-0.354842867,2.933391953,2.060943878,0.171858547,0.463273045
Nppc,-0.643844407,1.457339695,2.057080138,0.172236009,0.463980901
Cd200r3,-0.865344679,0.24143713,1.935960447,0.184615249,0.480866262
