,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Phyhd1.14,0.364097233,0.003751849,0.006,0.002,1,14,Phyhd1
AC241534.1.14,0.364097233,0.003021533,0.006,0.002,1,14,AC241534.1
3010001F23Rik.14,0.364097233,0.001004522,0.006,0.002,1,14,3010001F23Rik
Rn7sk.14,0.36443926,-0.146445905,0.085,0.064,1,14,Rn7sk
Gm44530.14,0.36446013,-0.00116851,0.006,0.002,1,14,Gm44530
Ptk6.14,0.364550889,0.000374574,0.006,0.002,1,14,Ptk6
Gm18943.14,0.364550889,-0.002033727,0.006,0.002,1,14,Gm18943
Gm15446.14,0.364677076,-0.043170397,0.034,0.023,1,14,Gm15446
Clcn7.14,0.364693997,-0.066766623,0.057,0.041,1,14,Clcn7
Gm48086.14,0.36473245,-0.003418746,0.006,0.002,1,14,Gm48086
1700010I14Rik.14,0.364823252,-0.003549695,0.006,0.002,1,14,1700010I14Rik
Gm4876.14,0.364823252,-0.00541979,0.006,0.002,1,14,Gm4876
Dtx4.14,0.364867535,-0.227954095,0.068,0.083,1,14,Dtx4
Gm44416.14,0.364912644,-0.040153048,0.028,0.019,1,14,Gm44416
Megf11.14,0.364914068,-0.00358708,0.006,0.002,1,14,Megf11
1700072G22Rik.14,0.364914068,-0.004468311,0.006,0.002,1,14,1700072G22Rik
Gm43948.14,0.365004898,-0.004698546,0.006,0.002,1,14,Gm43948
Hspa2.14,0.365006873,-0.115434929,0.074,0.055,1,14,Hspa2
Gm32592.14,0.365095742,-0.004294577,0.006,0.002,1,14,Gm32592
Ccdc88b.14,0.365095742,-0.005716262,0.006,0.002,1,14,Ccdc88b
AY512931.14,0.365095742,-0.007968846,0.006,0.002,1,14,AY512931
Upp2.14,0.366189417,0.003670031,0.023,0.014,1,14,Upp2
Pnpo.14,0.366205654,-0.014572545,0.017,0.01,1,14,Pnpo
Kifc2.14,0.366491536,-0.018524654,0,0.005,1,14,Kifc2
Glyat.14,0.366491536,-0.01831345,0,0.005,1,14,Glyat
Shisa3.14,0.366491536,-0.027135827,0,0.005,1,14,Shisa3
Gm50008.14,0.366491536,-0.014853493,0,0.005,1,14,Gm50008
Gm8258.14,0.366491536,-0.014995232,0,0.005,1,14,Gm8258
