,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Igf2,0.706483833,-0.018865763,0.009,0.01,1
Cntf,0.718070868,-0.020086675,0.004,0.005,1
Ccl20,0.718417053,-0.011939709,0.001,0.002,1
Ccl3,0.724067781,-0.002050458,0.001,0.001,1
Nrg1,0.736857538,0.008860024,0.014,0.012,1
Pomc,0.745497939,-0.012388916,0.004,0.004,1
Fgfr2,0.768043727,-0.008700532,0.007,0.007,1
Fgf23,0.771011824,0.00354463,0.001,0.002,1
Calca,0.771278196,-7.55E-05,0.001,0.001,1
Col20a1,0.777867973,-0.044640127,0.007,0.008,1
Rspo1,0.781421956,-0.016070111,0.005,0.006,1
Il2,0.785879185,-0.003230577,0.021,0.02,1
Nrg4,0.802874732,-0.001275917,0.002,0.002,1
Ddr1,0.816347951,-0.009009201,0.022,0.024,1
Angpt4,0.821225932,-0.025956872,0.016,0.017,1
Bmp6,0.828272313,-0.00855194,0.017,0.018,1
Gdf15,0.829188829,-0.003231364,0.006,0.007,1
Prlr,0.844605676,-0.026316164,0.027,0.028,1
Grn,0.87063236,0.017103982,0.421,0.424,1
Trem2,0.883682692,-0.003847742,0.001,0.001,1
Il15,0.891331088,-0.017318207,0.025,0.024,1
Artn,0.907702744,0.007487093,0.002,0.003,1
Ghrl,0.91447758,0.024687695,0.002,0.002,1
Pdgfd,0.919460718,0.018121787,0.068,0.068,1
Thpo,0.922222363,-0.004968748,0.004,0.004,1
Adipoq,0.941757129,-0.00950943,0.001,0.001,1
Fam3b,0.941850078,-0.001966512,0.001,0.001,1
Ccl12,0.949336037,-0.013594666,0.001,0.001,1
Col28a1,0.963634842,0.004832722,0.01,0.01,1
Oxt,0.978231646,-0.000928827,0.002,0.003,1
Il1b,0.978558726,0.003080135,0.001,0.001,1
Slamf1,0.978740774,0.00147011,0.001,0.001,1
Plxnb1,0.981179213,-0.018517411,0.005,0.005,1
Il1rn,0.984015217,-0.001517193,0.001,0.001,1
Erfe,0.997642817,-0.00693431,0.002,0.002,1
