,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gm15816.17,1.12E-23,0.199231609,0.068,0.002,1.98E-19,17,Gm15816
Isyna1.17,1.50E-23,1.199024205,0.341,0.043,2.66E-19,17,Isyna1
Jam3.17,3.32E-23,1.389642181,0.5,0.092,5.87E-19,17,Jam3
Acsl3.17,1.41E-22,1.116859037,0.5,0.091,2.49E-18,17,Acsl3
Bin1.17,1.63E-22,1.546589744,0.75,0.238,2.89E-18,17,Bin1
Pak3.17,4.90E-22,0.550656313,0.205,0.017,8.67E-18,17,Pak3
Rb1.17,1.00E-21,0.591386981,0.25,0.025,1.78E-17,17,Rb1
Polr2i.17,1.11E-21,1.16958145,0.636,0.157,1.97E-17,17,Polr2i
Nexn.17,1.14E-21,1.342095315,0.523,0.103,2.02E-17,17,Nexn
Naa50.17,1.35E-21,1.336641932,0.705,0.199,2.39E-17,17,Naa50
Cxcr4.17,1.46E-21,0.281309412,0.114,0.005,2.59E-17,17,Cxcr4
Frmd4b.17,1.53E-21,1.021166393,0.364,0.051,2.71E-17,17,Frmd4b
Cryab.17,1.62E-21,1.537097159,0.773,0.26,2.86E-17,17,Cryab
Slc25a5.17,3.64E-21,1.573537064,0.864,0.406,6.43E-17,17,Slc25a5
Vma21.17,7.84E-21,1.312503765,0.614,0.152,1.39E-16,17,Vma21
Cecr2.17,1.54E-20,0.339070275,0.114,0.006,2.72E-16,17,Cecr2
Dpt.17,3.27E-20,-2.585123769,0.409,0.87,5.79E-16,17,Dpt
Marcksl1.17,4.03E-20,1.303746498,0.545,0.124,7.13E-16,17,Marcksl1
Col1a2.17,6.25E-20,-1.644699142,0.909,0.97,1.11E-15,17,Col1a2
Fstl1.17,6.68E-20,-1.949095011,0.432,0.901,1.18E-15,17,Fstl1
Gapdh.17,9.86E-20,1.315651416,0.75,0.262,1.74E-15,17,Gapdh
Gsn.17,1.10E-19,-2.654960769,0.705,0.959,1.94E-15,17,Gsn
S100a6.17,1.87E-19,-1.480968569,0.682,0.939,3.31E-15,17,S100a6
Tmem38b.17,2.11E-19,0.644771264,0.273,0.032,3.73E-15,17,Tmem38b
Syne1.17,2.32E-19,0.924334759,0.568,0.126,4.10E-15,17,Syne1
Rragd.17,4.18E-19,0.383150368,0.136,0.009,7.40E-15,17,Rragd
Slc12a2.17,6.39E-19,0.877203645,0.386,0.064,1.13E-14,17,Slc12a2
Rnase4.17,6.51E-19,-2.153224295,0.136,0.824,1.15E-14,17,Rnase4
Actn2.17,6.59E-19,0.404334033,0.068,0.002,1.17E-14,17,Actn2
Tmem253.17,6.92E-19,0.075545015,0.045,0.001,1.22E-14,17,Tmem253
C1qbp.17,9.29E-19,1.192354655,0.636,0.175,1.64E-14,17,C1qbp
Nudt15.17,1.86E-18,0.08163846,0.068,0.002,3.30E-14,17,Nudt15
Rps6ka2.17,4.04E-18,0.539983579,0.114,0.007,7.15E-14,17,Rps6ka2
Popdc2.17,4.04E-18,0.257541428,0.159,0.012,7.15E-14,17,Popdc2
Col3a1.17,4.27E-18,-1.600707066,0.932,0.971,7.56E-14,17,Col3a1
Tmod1.17,4.47E-18,0.342756476,0.136,0.009,7.91E-14,17,Tmod1
Ckm.17,4.73E-18,0.536341954,0.205,0.02,8.36E-14,17,Ckm
Hspa1l.17,4.88E-18,0.155547934,0.045,0.001,8.63E-14,17,Hspa1l
Sparc.17,5.97E-18,-1.403729736,0.955,0.982,1.06E-13,17,Sparc
mt-Cytb.17,6.11E-18,1.285196875,0.977,0.873,1.08E-13,17,mt-Cytb
Igfbp6.17,1.59E-17,-2.37734175,0.295,0.827,2.81E-13,17,Igfbp6
Ftl1.17,1.62E-17,-1.384551112,0.614,0.912,2.87E-13,17,Ftl1
Serping1.17,2.21E-17,-1.92317875,0.341,0.844,3.91E-13,17,Serping1
Bcam.17,2.24E-17,0.442526606,0.159,0.013,3.96E-13,17,Bcam
Lrrn1.17,2.28E-17,0.233389877,0.068,0.002,4.03E-13,17,Lrrn1
Trim63.17,2.82E-17,0.458988236,0.045,0.001,5.00E-13,17,Trim63
Gm5599.17,3.10E-17,0.042369864,0.045,0.001,5.49E-13,17,Gm5599
Drd4.17,4.37E-17,0.278823522,0.068,0.003,7.73E-13,17,Drd4
Timm10.17,5.57E-17,0.894746936,0.364,0.063,9.85E-13,17,Timm10
Cox6a2.17,5.92E-17,0.371963891,0.114,0.007,1.05E-12,17,Cox6a2
Hsp90ab1.17,5.92E-17,0.820026559,0.955,0.934,1.05E-12,17,Hsp90ab1
Mmp2.17,6.42E-17,-1.910851688,0.295,0.824,1.14E-12,17,Mmp2
S100a11.17,6.86E-17,-1.757010059,0.295,0.828,1.21E-12,17,S100a11
Mef2a.17,1.27E-16,1.205910212,0.705,0.248,2.24E-12,17,Mef2a
Ola1.17,1.42E-16,0.964506865,0.591,0.166,2.51E-12,17,Ola1
Ifitm3.17,1.49E-16,-1.5561585,0.455,0.866,2.63E-12,17,Ifitm3
Map2k2.17,1.65E-16,1.208315685,0.682,0.236,2.92E-12,17,Map2k2
