,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gm37289.8,0.874324667,0.015958959,0.002,0.002,1,8,Gm37289
Gm42937.8,0.874324667,0.011066492,0.002,0.002,1,8,Gm42937
Gm13215.8,0.874324667,0.006735959,0.002,0.002,1,8,Gm13215
Car2.8,0.874406366,0.021769984,0.002,0.002,1,8,Car2
Gm45137.8,0.874406366,0.0124525,0.002,0.002,1,8,Gm45137
Gm16751.8,0.874706489,0.012771263,0.003,0.004,1,8,Gm16751
Gm47640.8,0.874883919,0.020201369,0.003,0.004,1,8,Gm47640
Rps19-ps3.8,0.874883919,0.010799807,0.003,0.004,1,8,Rps19-ps3
Cks2.8,0.875302152,0.077476585,0.027,0.029,1,8,Cks2
Gm11687.8,0.875313816,0.016737434,0.005,0.004,1,8,Gm11687
Dph6.8,0.875503454,0.161875998,0.07,0.071,1,8,Dph6
Prkar2b.8,0.875573167,0.035210111,0.018,0.019,1,8,Prkar2b
Foxj1.8,0.876113963,0.014643401,0.005,0.004,1,8,Foxj1
Dhx37.8,0.87615735,0.051128096,0.021,0.02,1,8,Dhx37
Gm16124.8,0.876186533,0.009225018,0.006,0.007,1,8,Gm16124
Srebf2.8,0.876257371,0.107416885,0.077,0.078,1,8,Srebf2
Crhbp.8,0.876795136,0.034066262,0.002,0.001,1,8,Crhbp
Gm47155.8,0.876795136,0.018930303,0.002,0.001,1,8,Gm47155
Unkl.8,0.876795136,0.012924781,0.002,0.001,1,8,Unkl
Gm6560.8,0.876795136,0.011884918,0.002,0.001,1,8,Gm6560
1700030J22Rik.8,0.876795136,0.011784346,0.002,0.001,1,8,1700030J22Rik
Npm2.8,0.876795136,0.010397011,0.002,0.001,1,8,Npm2
Gm48478.8,0.876890436,0.014263996,0.002,0.001,1,8,Gm48478
Pcdhb10.8,0.876890436,0.011281478,0.002,0.001,1,8,Pcdhb10
Gm12666.8,0.876890436,0.00476351,0.002,0.001,1,8,Gm12666
Gm11224.8,0.876890436,0.004624847,0.002,0.001,1,8,Gm11224
Rundc3a.8,0.876985737,0.009040461,0.002,0.001,1,8,Rundc3a
Gm3756.8,0.876985737,0.00569515,0.002,0.001,1,8,Gm3756
Gm8618.8,0.877081041,0.004633105,0.002,0.001,1,8,Gm8618
Pcdhga4.8,0.877081041,0.00473005,0.002,0.001,1,8,Pcdhga4
Gm12751.8,0.877081041,0.00383365,0.002,0.001,1,8,Gm12751
Gm16060.8,0.877081041,0.002790505,0.002,0.001,1,8,Gm16060
Gm17150.8,0.877081041,0.002073039,0.002,0.001,1,8,Gm17150
Rps19-ps4.8,0.877176346,0.0044935,0.002,0.001,1,8,Rps19-ps4
Rps11-ps3.8,0.877176346,0.003035768,0.002,0.001,1,8,Rps11-ps3
Gm37943.8,0.877271653,0.004116957,0.002,0.001,1,8,Gm37943
Gm4478.8,0.877366962,0.001885456,0.002,0.001,1,8,Gm4478
Osgepl1.8,0.87739785,0.058137882,0.016,0.017,1,8,Osgepl1
Fbf1.8,0.877432026,0.086335664,0.024,0.023,1,8,Fbf1
Gm43714.8,0.877748215,-0.001318618,0.002,0.001,1,8,Gm43714
Gm4928.8,0.877802064,0.037167219,0.014,0.015,1,8,Gm4928
Gm5514.8,0.877843532,-0.000449485,0.002,0.001,1,8,Gm5514
Gm6581.8,0.878034173,-0.001001916,0.002,0.001,1,8,Gm6581
Gm28809.8,0.878129496,-0.000966455,0.002,0.001,1,8,Gm28809
Clec7a.8,0.878129496,-0.002313899,0.002,0.001,1,8,Clec7a
Six2.8,0.878461788,0.001229941,0.005,0.004,1,8,Six2
Jade3.8,0.878497458,0.012232277,0.006,0.006,1,8,Jade3
Gm47942.8,0.878892143,-0.001863063,0.002,0.001,1,8,Gm47942
Eloc.8,0.878901641,0.251703563,0.294,0.34,1,8,Eloc
Caskin2.8,0.878959495,0.03079084,0.01,0.009,1,8,Caskin2
Gm37486.8,0.879691877,0.016774186,0.008,0.009,1,8,Gm37486
Dnttip2.8,0.879903637,0.274709665,0.251,0.288,1,8,Dnttip2
Pf4.8,0.880702206,-0.001576322,0.005,0.005,1,8,Pf4
Fam98b.8,0.881132367,0.193149623,0.13,0.141,1,8,Fam98b
Zfp523.8,0.881471467,0.050675487,0.021,0.022,1,8,Zfp523
Gm2962.8,0.881829757,0.001824336,0.005,0.005,1,8,Gm2962
Hbp1.8,0.882249097,0.222054259,0.083,0.09,1,8,Hbp1
Nradd.8,0.882325955,0.13094757,0.038,0.038,1,8,Nradd
Tbp.8,0.883634261,0.167800654,0.04,0.04,1,8,Tbp
Gm49783.8,0.883888468,-0.000496448,0.006,0.007,1,8,Gm49783
Zkscan14.8,0.885066663,0.023353684,0.005,0.005,1,8,Zkscan14
Tpi-rs11.8,0.885459147,0.022710802,0.005,0.005,1,8,Tpi-rs11
Zfp931.8,0.886143208,0.083412937,0.024,0.025,1,8,Zfp931
Mob3a.8,0.886295565,0.171984677,0.061,0.062,1,8,Mob3a
Gm9392.8,0.886391458,0.039963361,0.01,0.01,1,8,Gm9392
