,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Sacm1l,0.000468085,-0.017509044,0.01,0.017,1,0,Sacm1l
Dipk1b,0.000471171,-0.029976426,0.014,0.022,1,0,Dipk1b
Slc1a4,0.000478198,-0.008453529,0.03,0.041,1,0,Slc1a4
Dancr,0.000478765,-0.030079475,0.014,0.023,1,0,Dancr
Selenok-ps1,0.000480447,0.012678121,0.005,0.002,1,0,Selenok-ps1
Arih2,0.000480782,-0.050889992,0.081,0.098,1,0,Arih2
Baiap2,0.000482109,0.082748135,0.134,0.117,1,0,Baiap2
Hfe,0.000486189,0.040658214,0.058,0.045,1,0,Hfe
Timm21,0.000486832,-0.038672058,0.056,0.071,1,0,Timm21
Isoc1,0.000487453,-0.033062224,0.101,0.121,1,0,Isoc1
Tmem200a,0.000491415,-0.018024291,0,0.003,1,0,Tmem200a
Tbrg1,0.000491708,0.048410347,0.394,0.37,1,0,Tbrg1
Raph1,0.000492534,-0.097363768,0.15,0.171,1,0,Raph1
Amz2,0.000493213,-0.032768558,0.085,0.103,1,0,Amz2
Prrc2c,0.0004954,0.021772769,0.592,0.57,1,0,Prrc2c
Sdhaf4,0.000496702,0.081750006,0.119,0.103,1,0,Sdhaf4
Slc25a16,0.000496724,-0.035754298,0.028,0.038,1,0,Slc25a16
N4bp1,0.000497146,-0.036090649,0.058,0.073,1,0,N4bp1
Acss3,0.000498802,0.015083748,0.011,0.006,1,0,Acss3
Ube2e3,0.000500151,-0.023557197,0.094,0.114,1,0,Ube2e3
Mrpl1,0.000500409,-0.038268364,0.042,0.055,1,0,Mrpl1
Atp6v1d,0.000500424,-0.077017671,0.154,0.177,1,0,Atp6v1d
Atp8a1,0.000500431,-0.057583172,0.012,0.02,1,0,Atp8a1
D030068K23Rik,0.000501843,-0.006097195,0.001,0.004,1,0,D030068K23Rik
Lrp8,0.000502684,-0.007388404,0.001,0.004,1,0,Lrp8
Inava,0.000503267,-0.00683901,0.001,0.004,1,0,Inava
Gtpbp4,0.000506564,0.024851623,0.221,0.199,1,0,Gtpbp4
Ccdc28b,0.000508044,-0.058983255,0.043,0.055,1,0,Ccdc28b
Mphosph6,0.000508899,-0.031553516,0.107,0.128,1,0,Mphosph6
Rbmx,0.000514452,-0.050237295,0.051,0.065,1,0,Rbmx
Gm6485,0.000514728,-0.026007352,0.008,0.015,1,0,Gm6485
Tpk1,0.000516521,-0.022230571,0.007,0.013,1,0,Tpk1
Spcs2-ps,0.000518753,-0.021316259,0.009,0.015,1,0,Spcs2-ps
Shc4,0.000519567,-0.030476972,0.004,0.009,1,0,Shc4
Pitrm1,0.000519858,-0.011316715,0.053,0.068,1,0,Pitrm1
Sh2b2,0.000519972,-0.011651945,0.002,0.006,1,0,Sh2b2
Pitx1,0.000523105,0.047237997,0.036,0.026,1,0,Pitx1
Gm44040,0.000523302,0.009871634,0.005,0.002,1,0,Gm44040
Armcx4,0.000524645,-0.008832461,0.029,0.04,1,0,Armcx4
Nudt9,0.000524869,-0.05174648,0.095,0.114,1,0,Nudt9
Nifk,0.000525663,-0.03291169,0.096,0.115,1,0,Nifk
Tmod3,0.000528041,-0.080918516,0.256,0.284,1,0,Tmod3
Nme1,0.000528066,-0.093663245,0.279,0.302,1,0,Nme1
Tfb2m,0.000530887,-0.027544466,0.018,0.027,1,0,Tfb2m
Ngrn,0.000532719,-0.037816042,0.021,0.03,1,0,Ngrn
Gm37673,0.000533138,0.009766223,0.002,0.001,1,0,Gm37673
Zfp955a,0.000534022,-0.030413578,0.014,0.022,1,0,Zfp955a
Acd,0.000534779,-0.028718092,0.043,0.057,1,0,Acd
Gm9762,0.00053528,-0.012540897,0.003,0.007,1,0,Gm9762
Smim13,0.000535833,-0.032044469,0.043,0.056,1,0,Smim13
Papola,0.000537358,-0.057143259,0.281,0.31,1,0,Papola
Zfp28,0.000537382,-0.012205486,0.003,0.007,1,0,Zfp28
Map3k19,0.000538532,0.019549992,0.007,0.003,1,0,Map3k19
Gm42894,0.000540302,0.011661456,0.012,0.007,1,0,Gm42894
Hps5,0.000540999,-0.023693567,0.022,0.032,1,0,Hps5
Gm48942,0.000541639,0.006575196,0.004,0.001,1,0,Gm48942
Gm8722,0.000543459,-0.016560267,0.006,0.011,1,0,Gm8722
Gm49124,0.000544839,0.005131223,0.004,0.001,1,0,Gm49124
Gm37255,0.000544953,0.014354516,0.007,0.003,1,0,Gm37255
Gm44093,0.000545446,0.006845534,0.004,0.001,1,0,Gm44093
Dand5,0.000546063,-0.025301442,0.015,0.023,1,0,Dand5
Slc1a2,0.000546204,0.054659446,0.046,0.035,1,0,Slc1a2
Cbfb,0.000546434,-0.013579324,0.097,0.117,1,0,Cbfb
Kctd10,0.000553563,-0.008413434,0.009,0.015,1,0,Kctd10
Cenpu,0.000553963,-0.006131147,0.001,0.005,1,0,Cenpu
Gm4279,0.000554842,0.013408825,0.004,0.002,1,0,Gm4279
Asb4,0.000554883,-0.057033675,0.014,0.022,1,0,Asb4
Tanc2,0.000556334,0.053042522,0.103,0.088,1,0,Tanc2
Epha7,0.000556782,-0.013081638,0,0.003,1,0,Epha7
Gm47572,0.000556855,0.008045959,0.004,0.002,1,0,Gm47572
Tmem132a,0.000557085,-0.007863117,0.001,0.004,1,0,Tmem132a
2610027K06Rik,0.000557607,-0.011196602,0,0.003,1,0,2610027K06Rik
Ypel2,0.000560639,-0.051383922,0.023,0.033,1,0,Ypel2
Gins4,0.000563084,-0.016092505,0.038,0.05,1,0,Gins4
Dync1i1,0.000563417,0.012140196,0.004,0.001,1,0,Dync1i1
Gm9042,0.00056462,0.014470957,0.006,0.003,1,0,Gm9042
Psmd9,0.000567198,-0.026778401,0.092,0.111,1,0,Psmd9
Psma3,0.000570417,-0.072469238,0.276,0.304,1,0,Psma3
Bdkrb2,0.000571641,-0.006739288,0,0.002,1,0,Bdkrb2
Cldn9,0.000571641,-0.007953284,0,0.002,1,0,Cldn9
Tsga13,0.000571641,-0.009234433,0,0.002,1,0,Tsga13
Slc14a1,0.000571641,-0.00961717,0,0.002,1,0,Slc14a1
Zfp664,0.000578286,-0.055105198,0.07,0.086,1,0,Zfp664
Pwwp3a,0.000580099,-0.061620994,0.07,0.086,1,0,Pwwp3a
Gpcpd1,0.000580463,-0.078336281,0.045,0.058,1,0,Gpcpd1
BC065397,0.000581082,-0.026921457,0.007,0.013,1,0,BC065397
Hykk,0.000581184,0.01885824,0.024,0.017,1,0,Hykk
Rbm27,0.000581453,-0.072312173,0.133,0.155,1,0,Rbm27
Fam166a,0.000581589,-0.022802417,0.007,0.012,1,0,Fam166a
Usf3,0.000581715,-0.048804089,0.049,0.063,1,0,Usf3
H2-Q4,0.000584801,-0.086607543,0.139,0.158,1,0,H2-Q4
Gm38253,0.000585545,0.013897604,0.008,0.004,1,0,Gm38253
Ints8,0.000585799,-0.037732694,0.035,0.047,1,0,Ints8
Gm43151,0.000586063,0.014547338,0.008,0.004,1,0,Gm43151
Naa38,0.00058622,-0.037515889,0.108,0.128,1,0,Naa38
Rdh5,0.000586779,-0.04908161,0.024,0.034,1,0,Rdh5
Shisa2,0.000589899,-0.011950475,0.001,0.004,1,0,Shisa2
Kntc1,0.000590976,-0.005815779,0.001,0.004,1,0,Kntc1
Ppm1j,0.00059263,-0.006315719,0.001,0.004,1,0,Ppm1j
Sass6,0.000592886,-0.032919982,0.015,0.024,1,0,Sass6
Hoxc5,0.000597863,0.027386417,0.028,0.019,1,0,Hoxc5
Osbpl5,0.000598075,0.065403291,0.084,0.07,1,0,Osbpl5
Efcab2,0.000598197,0.025221996,0.02,0.013,1,0,Efcab2
Prrg4,0.000598225,-0.020143383,0.002,0.006,1,0,Prrg4
Zfp952,0.000598768,-0.023882197,0.021,0.031,1,0,Zfp952
Aqp5,0.000599298,-0.011671769,0,0.003,1,0,Aqp5
Mrps22,0.00059949,-0.042694074,0.042,0.055,1,0,Mrps22
Gm15222,0.000602755,-0.015783061,0,0.003,1,0,Gm15222
Sulf2,0.000603074,0.071998945,0.283,0.263,1,0,Sulf2
Chrm2,0.000603829,-0.012006558,0,0.003,1,0,Chrm2
Bche,0.000604709,-0.047799398,0.002,0.006,1,0,Bche
Ly6k,0.000607404,-0.022609472,0.005,0.01,1,0,Ly6k
Map7d2,0.000608449,-0.023747605,0.001,0.004,1,0,Map7d2
Commd2,0.000611921,-0.019924525,0.1,0.119,1,0,Commd2
Jrkl,0.00061293,-0.025718763,0.028,0.039,1,0,Jrkl
Pnrc2,0.000613782,-0.045191504,0.152,0.175,1,0,Pnrc2
Sft2d2,0.000615246,-0.033668643,0.035,0.047,1,0,Sft2d2
Hat1,0.000620208,-0.03379817,0.042,0.055,1,0,Hat1
Fkbp8,0.00062034,0.068893329,0.189,0.17,1,0,Fkbp8
Etv6,0.000620882,-0.023170974,0.042,0.055,1,0,Etv6
Mndal,0.000621875,-0.031792934,0.422,0.389,1,0,Mndal
Psen1,0.000622842,0.086318624,0.114,0.099,1,0,Psen1
Rad51,0.000624916,-0.024771627,0.009,0.015,1,0,Rad51
Brca2,0.000627478,-0.019370351,0.011,0.018,1,0,Brca2
Hyls1,0.000627783,-0.029451713,0.008,0.015,1,0,Hyls1
Snrnp27,0.00062852,-0.062056543,0.215,0.243,1,0,Snrnp27
Dusp11,0.000630383,-0.072040649,0.246,0.274,1,0,Dusp11
Gm43523,0.000630705,0.006976967,0.002,0,1,0,Gm43523
1700016F12Rik,0.000632368,0.005546538,0.002,0,1,0,1700016F12Rik
Peli1,0.000633744,-0.051529471,0.103,0.122,1,0,Peli1
