enstxids	sym	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
ENST00000400521	TXNRD2	15.05	12.75	13.47	15.48	17.04	17	23.11	13.95	14.51	16.69	15.35	13.99
ENST00000263798	TYRO3	10.27	9.04	8.23	10.3	8.84	6.73	3.37	3.81	4.82	8.02	5.59	1.82
ENST00000359626	TYW1	6.91	8.72	6.34	7.71	8	7.72	7.51	11.91	7.3	14.69	21.9	13.54
ENST00000354611	TYW5	1.86	2.13	1.77	2.06	3.64	3.01	8.63	7.98	3.01	8.12	7.7	6.48
ENST00000291552	U2AF1	102.46	71.41	82.39	104.7	42.6	100.55	212.04	152.39	144.76	155.8	60	185.59
ENST00000308924	U2AF2	119.18	79.9	85.07	119.51	79.78	92.24	245.9	116.19	162.95	204.18	99.84	118.56
ENST00000319822	U2SURP	16.37	13.21	13.37	17.71	8.84	16.45	31.4	32.08	20.35	28.76	21.86	46.99
ENST00000271469	UAP1	72.92	78.74	52.84	67.49	92.67	49.39	147.46	133.21	90.64	80.65	184.79	95.55
ENST00000335972	UBA1	170.16	128.92	173.09	160.72	168.07	133.31	212.45	154.21	271.16	219.17	213.74	136.73
ENST00000246548	UBA2	73.45	51.65	50.18	72.1	34.15	57.5	84.89	61.38	50.58	72.85	45.25	74.18
ENST00000361055	UBA3	24.56	22.27	22.24	27.25	25.83	24.47	23.72	32.1	18.23	23.57	33.98	34.64
ENST00000442744	UBA52	162.94	113.93	168.74	177.25	185.18	121.57	736.2	1028.6	533.51	535	1112.19	882.81
ENST00000371756	UBAC1	14.98	18.98	11.78	13.77	17.26	21.1	12.97	9.56	9.73	18.28	7.42	14.48
ENST00000403766	UBAC2	15.4	22.19	18.64	14.63	27.92	23.49	24.43	29.67	25.58	27.49	55.02	23.6
ENST00000545103	UBAP1	17.35	27.13	16.21	18.61	33.4	23.43	6.47	13.95	8.61	6.99	11.96	13.7
ENST00000379238	UBAP2	12.36	15.68	10.16	15.33	17.95	18.03	8.94	13.86	6.66	10.86	24.11	17.32
ENST00000428931	UBAP2L	69.74	61.28	63.43	73.66	53.25	73.52	61.63	74.82	62.19	63.64	74.05	80.56
ENST00000284273	UBASH3B	23.05	16.53	19.13	23.06	13.87	23.12	32.07	18.14	22.83	22.23	17.21	25.01
ENST00000536769	UBC	78.78	109.06	101.94	93.62	130.58	83.46	335.97	402.83	373.58	270.99	356.49	252.62
ENST00000371558	UBE2A	48.52	55.03	43.44	50.1	72.93	54.72	56.08	69.76	34.87	45.22	85.99	70.43
ENST00000265339	UBE2B	15.31	16.89	19.88	19.37	30.91	16.87	58.31	83.08	45.17	43.39	89.59	60.52
ENST00000369747	UBE2CBP	3.4	2.1	3.32	4.79	3.72	4.7	5.03	2.36	3.65	7.44	3.42	6.07
ENST00000373910	UBE2D1	8.26	9.18	11.71	9.3	10.05	10.83	16.31	26.88	28.75	17.34	16.06	37.4
ENST00000398733	UBE2D2	43.32	30.86	37.38	40.63	34.51	35.82	72.19	84.25	50.53	48.25	74.4	68.5
ENST00000222402	UBE2D4	11.47	7.87	12.01	11.18	9.78	9.39	13.51	10.49	13.52	9.8	4.9	6.65
ENST00000396703	UBE2E2	7.17	8.28	8.78	9.46	12.86	8.68	17.99	28.34	17.76	20.72	24.39	24.9
ENST00000410062	UBE2E3	79.97	71.14	78.55	101.73	78.26	113.84	37.27	61.34	33.09	63.57	42.63	79.95
ENST00000396981	UBE2G1	13.31	17.43	10.11	13.29	20.25	22.61	59.46	82.28	34.18	39.15	81.34	90.56
ENST00000345496	UBE2G2	35.42	28.37	27.04	39.69	45.39	31.22	116.04	78.91	62.37	104.53	86.41	64.6
ENST00000402301	UBE2I	32.04	31.18	26.46	29.49	26.01	35.34	134.54	161.81	113.36	92.28	79.57	140.95
ENST00000435041	UBE2J1	27.61	26.63	29.86	28.99	44.8	24.37	41.35	32.24	33.36	31.13	54.6	30.11
ENST00000400930	UBE2J2	40	37.86	26.32	40.73	47.69	50.48	57.58	34.98	31.85	36.18	37.38	37.89
ENST00000261427	UBE2K	16.2	18.23	15.31	18.22	20.13	20.96	98.12	56.24	56.08	54.41	87.95	92
ENST00000253023	UBE2M	88.49	53.37	60.91	84.88	60.5	69.83	113.79	108.37	78.92	92.18	77.01	106.29
ENST00000319380	UBE2O	12.89	8.33	11.58	13.28	8.18	14.84	25.16	17	25.39	33.92	17.75	32.04
ENST00000292211	UBE2Q1	22.84	24.91	24.7	27.76	30.91	24.99	36.12	32.23	26.53	37.85	34.8	26.42
ENST00000267938	UBE2Q2	14.99	18.81	17.32	16.29	16.06	19.6	8.96	9.29	11.64	11.57	7.86	9.27
ENST00000263228	UBE2R2	13.21	19.47	13.18	16.12	24.79	24.48	26.56	70.24	30.72	28.95	72.02	70.03
ENST00000419880	UBE2W	5.89	9.39	8.38	8.14	14.64	8.51	16.11	14.29	4.98	7.53	19.38	15.18
ENST00000360943	UBE2Z	68.07	71.4	69.93	67.26	66.48	98.1	63.05	96.48	68.19	62.87	74.61	103.81
ENST00000342494	UBE3B	14.79	15.08	13.38	12.5	13.29	13.66	3.78	5.58	5.77	5.06	6.05	4.68
ENST00000348165	UBE3C	38.32	41.59	29.16	35.86	44.47	39.06	17.7	19.96	16.77	24.29	24.3	19.74
ENST00000431736	UBE4A	20.49	17.64	18.05	21.89	18.84	17.21	26.76	22.99	18.25	31.69	39.61	26.41
ENST00000343090	UBE4B	18.75	15.7	19.61	17.74	13.92	15.19	10.71	16.42	15.21	15.24	17.28	13.93
ENST00000376810	UBIAD1	13.52	7.91	11.25	14.37	10.21	10.08	17.92	12.88	11.83	21.23	22.23	15.31
ENST00000369653	UBL4A	19.66	24.25	16.71	18.14	11.95	26.1	27.03	24.93	28.8	31.13	8.17	21.32
ENST00000395081	UBL7	38.25	31.72	38.7	40.59	36.22	30.93	38.7	28.01	30.65	24.75	27.15	21.79
ENST00000296786	UBLCP1	15.03	13.89	15.83	16.59	14.01	15	56.73	49.43	36.38	41.98	39.7	52.72
ENST00000396658	UBN1	16.12	11.99	13.76	15.55	11.08	16.62	5.45	3.16	4.93	6.29	3.24	5.53
ENST00000217173	UBOX5	4.34	3.04	3.51	3.66	2.25	3.81	4.81	4.12	3.33	3.5	3.58	5.84
ENST00000283629	UBP1	33.64	29.81	28.44	32.71	22.59	33.13	12.83	7.8	9.22	7.63	6.96	7.82
ENST00000376395	UBQLN1	42.15	60.88	39.2	53.27	59.82	55.06	72.71	82.81	70.61	80.1	122.79	81.94
ENST00000338222	UBQLN2	23.86	24.52	26.99	25.16	25.4	25.96	43.65	44.25	68.5	54.45	66.12	49.04
ENST00000368309	UBQLN4	27.53	20.14	23.65	27.38	26.17	27.24	21.13	10.32	18.55	16.03	13.67	13.57
ENST00000290650	UBR1	10.32	11.39	10.25	11.53	11.99	9.45	11.5	15.19	10.83	12.53	18.78	13.62
ENST00000372899	UBR2	7.68	8.99	9.66	7.21	8.29	7.36	11.64	13.57	13.1	9.28	18.86	13.73
ENST00000520539	UBR5	25.09	20.63	23.94	28.83	15.26	21.33	18.55	18	18.53	18.19	15.42	21.21
ENST00000393792	UBTD2	11.74	9.72	13.79	9.79	6.33	10.5	8.68	8.67	10.22	4.99	6.91	12.91
ENST00000302904	UBTF	31.59	21.42	23.15	24.35	11.41	32.41	65.34	36.72	40.08	34.13	18.26	57.49
ENST00000294119	UBXN1	66.92	40.68	67.25	64.49	41.19	55.44	181.28	77.5	145.13	132.62	54.44	83.31
ENST00000374222	UBXN11	7.42	4.27	4.47	6.43	2.54	5.52	7.14	1.96	3.85	9.75	1.78	3.47
ENST00000309033	UBXN2A	4.72	4.76	3.31	4.79	4.79	7.26	13.12	10.64	4.62	5.37	5.8	10.85
ENST00000399598	UBXN2B	3.18	4.5	4.92	3.86	5.66	3.43	4.8	2.78	3.67	3.03	4.71	2.16
ENST00000272638	UBXN4	23.26	43.21	28.69	23.2	33.73	23.53	65.28	117.14	84.26	76.29	127.36	80.4
ENST00000301281	UBXN6	55.53	64.86	74.14	59.48	63.55	57.55	47.71	46.65	46.69	49.36	25.96	30.46
ENST00000296328	UBXN7	6.74	8.47	7.56	6.26	7.6	7.75	25.96	34.56	28.29	23.23	33.12	34.54
ENST00000377589	UCHL3	25.03	23.45	20.35	36.78	52.98	19.16	37.87	38.89	26.4	41.18	87.63	30.52
ENST00000372211	UCK1	12.89	14.43	11.19	13.42	14.69	17.38	11.7	4.46	3.74	3.35	2.87	4.89
ENST00000367879	UCK2	39.7	37.42	27.95	42.45	32.21	48.2	70.33	59.63	48.1	69.42	45.9	68.55
ENST00000354216	UCKL1	20.51	14.57	18	16.91	8.91	21.56	13.56	8.4	14.93	13.42	4.22	11.34
ENST00000396197	UEVLD	8.92	10.16	9.69	10.44	10.51	9.75	15.03	13.67	9.47	12.65	13.69	15.22
ENST00000399525	UFD1L	74.9	52.66	73.43	83.46	92.03	63.08	117.29	90.12	123.55	128.45	118.86	101.64
ENST00000369278	UFL1	9.86	9.94	11.7	9.38	6.59	5.71	33.23	30.88	29.73	32.14	32.19	24.9
ENST00000264689	UFSP2	9.06	12.62	10.84	11.21	13.96	11.16	13.45	15.28	11.48	9.97	18.62	10.76
ENST00000316423	UGDH	41.18	38.15	45.92	44.31	25.36	30.29	92.48	109.67	115.06	66.16	77.28	66.23
ENST00000259253	UGGT1	23.6	24.46	18.71	22.74	16.73	25.72	41.42	56.03	45.78	57.19	65.11	72.11
ENST00000376747	UGGT2	6.96	9.66	7.8	5.33	7.13	7.21	7.4	16.89	10.32	9.49	25.56	13.31
ENST00000445915	UGP2	52.56	56.16	54.88	54.19	46.9	38.82	80.87	69.31	59.74	60.53	64.95	53.22
ENST00000489294	UHMK1	35.57	43.96	28.03	37.68	50.16	31.22	17.67	21.95	12.11	12.62	25.39	17.68
ENST00000192788	UHRF1BP1	4.7	3.4	5.84	3.32	4.65	2.91	2.25	1.82	3.36	1.36	2.72	1.94
ENST00000279907	UHRF1BP1L	10.27	10.64	8.65	11.36	8.61	7.73	3.2	3.05	2.33	3.05	4.63	2.67
ENST00000276893	UHRF2	11.11	19.09	11.38	12.75	10.37	20.36	12.34	17.52	9.05	8.62	9.71	17.16
ENST00000377219	UIMC1	11.21	12.31	11.29	11.5	8.99	13.76	7.55	13.05	10.66	13.16	7.72	19.93
ENST00000367339	ULBP3	3.98	2.3	4.18	3.65	4.16	1.79	27.35	13.86	19.51	13.89	19.99	6.73
ENST00000321867	ULK1	8.4	8.53	12.17	6.27	8.58	11.85	4.22	4.29	10.06	5.26	3.28	3.77
ENST00000418051	ULK3	7.69	7.1	6.82	9.74	9.54	8.13	4.31	2.81	4.42	10.26	2.28	1.59
ENST00000232607	UMPS	17.42	14.68	10.78	20.05	13.95	15.35	42.23	35.5	27.45	44.43	35.18	37.23
ENST00000335765	UNC119	11.63	14.84	12.94	12.4	20.42	17.3	6.73	10.47	9.12	10.88	9.26	7.62
ENST00000396787	UNC13B	5.58	10.69	7.04	8.18	17.46	10.49	2.12	3.77	2.68	2.34	5.75	4.44
ENST00000418476	UNC45A	33.59	34.31	36.09	36.05	42.03	30.46	46.52	41.12	62.05	61.05	47.29	37.11
ENST00000409975	UNC50	7.33	10.86	9.82	8.16	11.46	10.87	32.92	39.23	42.19	42.1	59.74	41.31
ENST00000227471	UNC93B1	9.73	8.21	13.59	7.98	7.43	7.49	18.26	7.07	18.41	12.71	8.2	6.64
ENST00000242576	UNG	20.47	16.52	11.17	14.09	13.75	21.28	53.44	25.96	17.42	33.05	20.3	31.95
ENST00000262803	UPF1	45.67	31.05	32.07	41.5	27.9	38.58	80.95	38.37	80.29	69.11	45.42	49.29
ENST00000356352	UPF2	12.82	10.36	10.54	13.4	10.77	10.62	15.64	15.97	14.78	27.17	19.08	21.24
ENST00000375299	UPF3A	21.67	21.53	18.49	20.18	19.2	21.36	45.61	32.85	40.77	51.11	23.63	32.19
ENST00000276201	UPF3B	7.98	4.83	5.24	7.19	3.46	5.44	25.69	18.34	13.49	25.13	11.44	21.22
ENST00000373383	UPRT	5.6	4.98	5.45	6.24	5.4	5.3	8.03	8.14	8.91	5.22	8.23	9.96
ENST00000374385	UQCC	10.72	9.57	10.47	11.28	14.89	14.13	20.43	19.24	18.68	23.43	33.42	30.33
ENST00000332801	UQCR10	59.95	73.89	49.83	65.81	129.1	75.27	83.63	113.45	52.79	65.86	104.8	98.83
ENST00000203407	UQCRC1	116.99	86.61	115.17	124.49	124.13	120.22	227.65	135.06	206.77	242.66	170.56	158.99
ENST00000268379	UQCRC2	52.27	45.18	48.47	63.66	77.17	46.26	121.82	106.33	90.85	98.31	172.98	101.1
ENST00000304863	UQCRFS1	73.38	61.61	62.28	82.12	77.29	70.82	92.2	115.03	71.44	89.27	129.09	104.59
ENST00000382751	URB1	11.58	9.01	7.15	12.52	9.14	10.34	14.81	14.86	13.86	20.58	16.82	18.2
ENST00000258243	URB2	9.44	6.86	5.41	9.03	4.06	8.28	7.97	6.81	7.35	11.82	6.31	9.13
ENST00000453200	URGCP	17.62	17.83	17.24	19.52	20.85	31.33	31.62	19.99	23.51	36.64	19.78	38.83
ENST00000452446	URM1	23.26	26.41	22.47	26.27	26.67	33.9	37.2	56.11	22.37	30.74	33.71	53.22
ENST00000263897	USE1	19.86	13.28	25.26	19.53	14.01	12.17	24.19	13.25	41.96	27.25	6.91	8.49
ENST00000222305	USF2	51.56	33.95	48.37	62.53	58.77	45.92	19.28	8.67	14.45	24.76	8.44	9.89
ENST00000369825	USMG5	32.32	37.94	33.79	46.96	91.71	41.96	63.39	328.92	42.06	75.65	418.96	254.36
ENST00000282344	USP12	12.21	12.59	11.64	19.99	21.22	18.7	2.36	5.75	3.15	4.66	11.33	5.81
ENST00000261601	USP14	33.99	37.89	29.39	35.48	40.85	35.62	106.5	130.45	76.65	85.1	163.28	128.31
ENST00000280377	USP15	13.08	11.74	11.26	15.28	16.46	9.86	21.13	26.09	12.31	18.07	38.51	24.22
ENST00000334352	USP16	19.87	16.99	17.53	23.14	14.55	15.33	13.22	8.42	4.54	7.58	7.07	8.27
ENST00000434032	USP19	15.71	12.69	14.98	14.05	10	12.46	13.45	10.49	16.02	14.66	7.53	10.59
ENST00000315480	USP20	5.71	7.76	7.39	7.88	11.99	10.5	3.63	6.73	9.81	12.07	8.14	7.42
ENST00000261497	USP22	67.79	67.61	56.82	54.55	67.54	64.76	69.64	59.68	64.75	48.69	69.2	49.78
ENST00000294383	USP24	16.8	9.78	15.97	16.61	7.88	9.95	10.42	8.33	14.13	17.22	8.61	11.71
ENST00000400183	USP25	8.95	7.87	9.27	9.41	6.24	7.69	2.82	4.14	5.28	4.56	4.5	5.98
ENST00000003302	USP28	6.58	5.99	7.22	6.99	2.64	7.43	6.43	5.31	4.42	6.88	2.18	6.81
ENST00000380324	USP3	13.24	8.5	13.75	17.48	6.78	8.83	13.9	3.91	9.06	3.53	5.34	5.62
ENST00000257548	USP30	3.29	3.53	3.97	2.96	3.54	2.69	4.48	3.65	4.99	6.79	8.34	3.9
ENST00000300896	USP32	11.15	10.57	12.09	12.86	13.43	13.01	5.73	5.65	6.71	8.41	7.35	7.26
ENST00000370793	USP33	14.65	17.75	15.72	14.82	11.67	19.38	13.13	19.96	15.88	12.43	14.97	23.98
ENST00000398571	USP34	18.08	16.17	19.7	15.84	13.39	13.84	3.36	7.13	6.65	7.74	9.18	8.28
ENST00000529308	USP35	3.53	3.61	3.86	3.83	3.54	4.24	3.12	1.71	1.74	2.63	1.48	3.21
ENST00000312010	USP36	23.29	15.91	23.17	32.54	18.72	31.33	15.04	8.33	16.1	19.71	9.33	17.71
ENST00000258399	USP37	2.34	2.24	1.65	1.76	1	1.31	3.07	3.47	1.79	4.1	1.51	4.62
ENST00000307017	USP38	4.13	6.7	4.38	5.5	7.45	7.52	1.9	4.75	2.64	1.28	6.75	5.1
ENST00000323701	USP39	39.73	29.27	28.75	36.15	21.53	30.22	46.93	24	23.93	24.35	12.85	30.7
ENST00000265560	USP4	25.16	28.3	25.63	22.89	18.25	21.02	20.43	20.38	18.49	16.44	12.02	16.12
ENST00000306177	USP42	3.43	3.31	3.41	2.88	2.15	4.21	2.5	1.99	2.55	2.92	1.14	2.91
ENST00000327681	USP45	2.57	1.78	2.46	2.62	1.76	1.91	1	3.39	1.22	2.46	2.28	2.71
ENST00000441222	USP46	10.23	6.62	9.91	12.31	9.95	7.85	4.53	5.29	6.26	7.75	10.03	7.83
ENST00000399455	USP47	16.08	17.57	13.79	12.88	12.63	16.33	24.16	23.94	16.93	18.61	26.6	30.84
ENST00000529637	USP48	20.52	23.56	18.91	20.66	18.46	23.2	25.92	20.88	20.01	19.8	20.49	23.26
ENST00000229268	USP5	63.22	52.18	53.06	57.87	59.36	55.66	95.89	64.22	73.22	84.37	71.59	67.22
ENST00000339859	USP54	5.15	3.15	6.69	6.75	4.94	2.57	3.65	1.27	2.64	4.3	2.77	1
ENST00000277575	USP6NL	5.63	3.65	5.83	4.57	2.7	5.55	1.98	1.26	1.98	1	1	1.98
ENST00000344836	USP7	38.05	29.42	26.75	36.92	18.58	36.01	33.72	27.67	22.52	39.86	24.64	37.83
ENST00000433963	USP8	12.19	12.63	11.97	12.52	11.41	10.61	12.45	13.87	11.79	13.01	16.89	13.67
ENST00000324545	USP9X	22.24	23.19	23.22	21.95	22.88	20.2	14.99	20.91	19.93	20.27	33.77	23.48
ENST00000338981	USP9Y	3.95	5.82	6.58	3.04	3.99	3.27	1.74	3.72	4.36	3.38	4.48	2.76
ENST00000255304	USPL1	4.57	5.67	4.49	5.5	4.91	5.92	3.3	2.62	1	2.6	3.37	3.07
ENST00000373014	UTP11L	29.41	19.99	22	33.89	16.41	21.5	128.95	96.65	60.96	81.49	63.43	89.46
ENST00000394422	UTP14A	13.71	10.27	10.79	15.56	9.04	11.1	19.5	20.55	15.14	20.81	14.79	24.06
ENST00000296792	UTP15	8.11	5.88	5.79	10.21	5.96	7.69	21.65	13.18	11.59	17.63	19.71	18.05
ENST00000225298	UTP18	40.72	22.84	28.71	46.14	18.56	47.95	64.34	27.44	37.24	48.88	16.91	62.1
ENST00000261637	UTP20	12.79	9.69	8.63	15.18	5.25	13.08	13.06	12.97	10.76	18.48	8.68	24.84
ENST00000309822	UTP23	5.12	5.08	4.57	6.44	6.8	5.54	10.15	10.67	6.62	14.73	10.78	12.03
ENST00000261708	UTP6	11.77	11.41	9.71	14.41	12.73	13.57	57.95	46.33	38.62	51.97	54.86	53.13
ENST00000356136	UVRAG	6.81	5.82	6.96	10.17	7.74	9.33	5.36	4.51	6.07	13.31	6.29	8.97
ENST00000283148	UXS1	27.06	23.88	26.97	26.76	54.65	32.6	54.17	38.84	46.36	61.29	110.68	46.66
ENST00000335890	UXT	51.51	47.15	61.01	57.35	50.23	44.15	82.02	64.21	62.5	63.67	39.89	43.36
ENST00000261776	VAC14	28.3	14.81	26.29	36.91	10.73	14.83	20.57	9.98	20.92	22.16	6.59	6.53
ENST00000236192	VAMP4	2.58	3.99	4.86	3.73	5.9	5.57	13.45	15.03	6.8	22	13.06	24.36
ENST00000262640	VAMP7	19.64	23.54	16.87	20.9	30.45	17.98	19.95	34.02	9.65	12.4	34.42	25.89
ENST00000355485	VANGL1	4.99	6.32	4.54	3.45	2.64	3.67	15.24	13.49	12.34	5	9	10.59
ENST00000475243	VAPB	11.22	10.66	9.28	9.95	10.02	10.5	66.74	70.59	47.76	37.96	67.22	66.96
ENST00000375663	VARS	75.22	41.29	47.51	69.08	47.65	45.58	92.51	58.68	81.55	112.16	68.13	56.96
ENST00000541562	VARS2	11.51	6.99	10.74	11.33	4.13	8.1	10.68	4.52	8.82	9.23	2.23	5.52
ENST00000304735	VASN	52.27	64.32	66.15	36.09	41.43	56.18	84.5	101.78	154.63	89.73	99.32	67.47
ENST00000245932	VASP	91.5	94.27	77.41	93.06	74.51	93.55	148.91	118.55	124.54	126.23	83.74	116.14
ENST00000371850	VAV2	10.79	12.02	7.91	9.85	7.07	15.47	10.46	9.16	10.19	13.58	6.59	12.99
ENST00000265077	VCAN	2.71	1.45	3.99	2.54	1	1.25	2.65	3.16	8.04	5.7	2.15	3.3
ENST00000211998	VCL	193.32	211.02	209.86	176.45	179.9	139.74	441.61	499.09	614.54	477.6	700.54	357.42
ENST00000358901	VCP	107.13	161.54	101.98	127.47	149.21	179.42	228.6	388.67	250.12	258.08	419.88	466.81
ENST00000310421	VCPIP1	4.24	5.28	5.19	4.61	5.9	4.08	8.08	13.41	12.56	7.39	22.84	13.66
ENST00000265333	VDAC1	185.64	172.21	159.43	226.42	206.48	186.05	415.07	341.83	309.65	338.1	356.42	330.26
ENST00000313132	VDAC2	120.24	121.7	114.87	150.4	214.81	123.97	211.36	175.6	180.91	219.39	311.94	171.32
ENST00000392935	VDAC3	64.53	64.8	58.52	80.22	71.47	68.42	122.04	120.01	71.07	96.32	119.47	145.36
ENST00000523873	VEGFA	18.25	14.5	30.43	16.56	15.05	18.17	34.62	8.54	47.84	26.34	13.43	9.48
ENST00000309422	VEGFB	40.51	31.02	54.64	47.55	39.36	32.26	13.34	3.73	5.97	20.12	2.37	2.69
ENST00000362010	VEPH1	12.56	11.92	19.59	19.94	11.3	17.11	5.33	5.7	8.54	9.57	3.79	10.43
ENST00000258963	VEZF1	21.32	16.52	22.19	16.63	8.15	20.93	15.09	12.08	16.81	12.08	4.39	11.67
ENST00000436874	VEZT	12.9	18.9	17.05	13.58	25.17	13.05	7.67	16.36	10.15	7.37	22.51	13.3
ENST00000256474	VHL	10.43	8.66	8.9	8.5	7.34	13.58	21.25	17.23	14.86	14.6	6.5	19.77
ENST00000544301	VIM	4333.82	2955.66	4881.25	4703.14	3942.76	3368.98	10773.48	7560.41	11875.84	11605.55	9097.85	8667.62
ENST00000394975	VKORC1	87.3	137.96	109.58	71.93	100.15	97.35	141.79	281.33	223.9	136.42	152.49	140.18
ENST00000434382	VKORC1L1	15.35	23.64	13.19	14.14	31.39	20.96	26.72	31.34	23.09	15.67	39.56	35.73
ENST00000370361	VMA21	7.01	3.82	4.88	7.71	5.24	4.27	29.57	21.94	24.48	44.42	35.44	17.12
ENST00000262291	VMP1	42.88	42.83	44.79	52.51	90.84	67.38	79.15	94.17	80.04	105.14	247.71	174.55
ENST00000285279	VOPP1	62.72	67.7	72.25	57.84	77.54	37.42	138.72	93.95	174.89	113.52	91.29	42.91
ENST00000360280	VPS13A	2.94	3.32	3.79	2.66	3.58	1.91	1.8	4.23	2.22	2.37	4.51	6.34
ENST00000358544	VPS13B	5.29	6.48	7.25	4.15	4.47	3.9	3.27	5.13	5.01	3.2	4.63	5.15
ENST00000358136	VPS13D	6.64	7.08	7.2	6.23	6.62	5.2	3.4	3.84	4.09	3.34	5.04	4.87
ENST00000380445	VPS16	23.07	19.1	22.38	21.56	14.69	21.48	37.22	25.3	36.81	27.03	17.84	26.86
ENST00000220509	VPS18	18.43	17.57	23.85	29.13	25.3	18.99	22.79	16.64	29.95	31.45	27.64	16.09
ENST00000253794	VPS25	40.85	48.51	37.92	52.43	35.31	63.67	119.82	113.75	81.55	116.63	55.67	161.6
ENST00000373382	VPS26A	26.17	23.34	29.22	34.4	29.32	26.69	52.74	99.69	61.77	55.79	118.12	92.16
ENST00000281187	VPS26B	21.28	19.1	22.86	17.83	18.22	24.5	15.58	22.03	20.6	15.23	12.73	24.71
ENST00000377348	VPS28	37.13	43.32	44.98	37.62	38.34	39.18	58.65	49.14	83.29	77.49	34.55	44.8
ENST00000267199	VPS33A	11.33	10.56	10.38	12.94	16	11.3	35.61	24.71	27.47	27.48	40.58	24.29
ENST00000333371	VPS33B	8.48	7.21	8.04	8.78	7.26	7.35	7.87	10.91	8.83	15.26	10.46	7.15
ENST00000299138	VPS35	36.86	38.29	41.51	46.53	39	40.82	81.72	78.89	69.51	76.16	91.26	88.2
ENST00000378060	VPS36	8.01	7.94	7.3	7.04	5.38	7.96	21.14	17.93	15.6	11.68	11.01	14.3
ENST00000324849	VPS37A	11.35	14.01	10.43	11.75	13.86	11.21	12.93	28.77	14.38	13.88	31.96	19.25
ENST00000301765	VPS37C	10.78	8.62	11.3	10.11	11.07	12.27	15.5	10.09	14.91	9.4	6.51	10.76
ENST00000310301	VPS41	9.25	12.95	12.19	11.88	19.6	9.6	13.98	24.29	15.46	17.68	26.81	15.53
ENST00000369130	VPS45	11.86	14.35	10.48	13.21	11.99	13.72	17.24	21.58	13.67	18.17	22.03	21.16
ENST00000254950	VPS4A	91.1	63.56	68.61	91.29	84.67	68.62	99.79	62.8	52.26	82.8	59.48	59.96
ENST00000238497	VPS4B	15.97	19.52	17.87	18.78	21.91	20.49	53.1	59.42	57.88	45.89	65.84	71.57
ENST00000445902	VPS52	24.38	16.7	23.39	19.9	9.9	17.89	34.13	20.04	33.21	34.52	12.69	18.63
ENST00000437048	VPS53	5.95	6.11	5.29	7.17	9.75	6.18	20.09	29.06	20.62	29.2	47.63	24.6
ENST00000272322	VPS54	9.57	8.16	10.18	11.74	7.47	9.9	2.9	1.64	1.94	2.28	2.34	1.96
ENST00000354473	VPS72	31.47	29.99	27.12	30.52	25.61	31.53	24.52	35.61	22.99	19.29	19.58	35.03
ENST00000287546	VPS8	7.55	8.49	9.75	9.14	10.36	6.91	3.06	4.18	4.36	5.08	5.62	3.43
ENST00000435505	VRK2	11.37	7.2	10.15	11.5	5.78	7.56	16.48	16.59	9.58	15.78	11.5	20.02
ENST00000316763	VRK3	10.58	10.81	12.3	9.81	13.41	8.32	6.87	8.99	7.51	7.4	5.25	4.48
ENST00000359236	VSIG10	5.32	5.46	5.66	3.65	1.77	4.94	4.92	4.57	5.38	4.44	2.46	3.49
ENST00000367630	VTA1	30.27	27.99	23.46	31.53	26.22	22.24	80.21	73.88	47.35	54.71	65.58	56.41
ENST00000393077	VTI1A	10.02	8.95	9.69	9.82	7.31	6.55	29.08	27.82	25.83	22.52	22.2	26.85
ENST00000554659	VTI1B	18.8	16.96	17.73	21.42	18.99	16.2	25.67	33.11	20.78	28.02	21.39	22.84
ENST00000456829	VWA5A	1	1	1	1	1	1	1	1	1.66	1	1	1.49
ENST00000354911	WAC	46.07	39.31	42.48	47.1	30.84	43.41	15.02	18.27	15.3	13.86	16.95	16.51
ENST00000342368	WAPAL	17.67	16.56	15.08	18.33	12.12	18.16	15.08	15.97	11.65	12.59	13.47	18.56
ENST00000355338	WARS	67.76	50.78	125.11	63.62	70.11	45.66	141	87.37	193.38	114.07	105.23	64.27
ENST00000235521	WARS2	5.92	3.82	6.17	6.26	3.84	5.77	11.31	8.74	6.41	4.95	5.46	7.96
ENST00000392589	WASF1	9.71	7.52	8.11	7.04	5.44	7.66	4.15	5.37	3.79	1.49	3.16	5.18
ENST00000430629	WASF2	59.4	35.43	56.16	51.6	22.96	36.31	45.04	46.86	55.07	46.62	25.26	41.65
ENST00000335327	WASF3	12.45	7.14	11.49	11.9	7.17	9.16	8.99	1	3.47	2.77	1.96	2.17
ENST00000326592	WASH4P	3.31	3.37	3.18	2.72	2.85	3.47	4.98	1.02	6.71	10.74	1.09	1.45
ENST00000359512	WASH6P	13.94	6.66	12.5	12.48	6.17	8.48	24.63	7.39	25.47	17.24	4.9	7.5
ENST00000223023	WASL	11.75	12.85	15.24	12.1	14.27	14.83	9.57	22.72	11.98	14.11	18.9	23.03
ENST00000261167	WBP11	60.67	38.34	36.85	54.69	21.04	49.81	24	24.11	14.33	18.08	11.47	26.77
ENST00000233055	WDFY1	23.8	20.63	19.02	21.34	18.3	20.85	50.35	33.41	34.69	38.28	26.02	35.61
ENST00000298125	WDFY2	14.11	12.13	14.2	19.34	12.62	16.44	11.61	9.44	12.07	16.84	7.95	10.95
