enstxids	sym	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
ENST00000235835	AKR7A2	35.14	31.1	41.46	33	31.61	29.74	45.46	35.04	53.45	38.28	22.54	30.9
ENST00000554581	AKT1	93.39	66.91	73.56	77.19	59.59	77.19	29.91	18.16	22.36	21.23	14.34	16.04
ENST00000391835	AKT1S1	41.46	34.5	38.3	46.04	77.14	37.35	79.52	62	71.69	96.48	71.56	46.11
ENST00000392038	AKT2	32.59	26.13	30.65	31.3	26.17	30.89	20.86	10.47	12.22	16.78	10.22	8.01
ENST00000366539	AKT3	12.98	17.77	14.08	11.8	5.96	9.79	8.16	14.45	8.71	10.93	5.8	7.82
ENST00000394657	AKTIP	7.58	5.86	8.04	6.97	10.26	5.54	8.8	5.3	8.65	4.19	18.69	4.09
ENST00000409155	ALAD	8.51	14.35	12.01	7.44	13.79	10.92	20.04	16.42	19.25	16.18	14.45	15.6
ENST00000394965	ALAS1	29.17	12.47	34.81	39.76	29.22	27.88	42.96	21.5	63.6	59.36	49.14	39.14
ENST00000293350	ALDH16A1	11.17	11.17	8.38	8.63	4.93	12.85	23.6	15.41	22.54	12.58	6.1	12.89
ENST00000377698	ALDH1B1	8.27	16.04	5.83	9.85	11.02	11.62	14.73	21.17	10.14	11.2	14.71	17
ENST00000273450	ALDH1L1	1	2	1	1	4.08	1	1.26	2.98	1	1	6.63	1
ENST00000339618	ALDH3A2	3.67	4.32	3.99	3.62	6.03	6.64	4.05	6.1	4.89	4.82	8.03	5.28
ENST00000349015	ALDH3B2	2.74	4.67	3.24	1.42	2.13	2.68	4.93	6.79	9.65	1.88	1.35	2.69
ENST00000375341	ALDH4A1	4.49	10.02	6.09	3.5	10.41	5.02	11.38	10.41	9.25	5.74	11.25	5.94
ENST00000553458	ALDH6A1	3.26	3.71	3.95	2.83	3.14	3.02	4.42	9.87	5.55	3.96	7.41	5.91
ENST00000409134	ALDH7A1	18.65	15.78	20.29	14.07	8.06	8.21	112.17	62.98	106.78	87.93	33.22	34.69
ENST00000354775	ALDH9A1	30.14	39.27	35.77	38.21	61.02	43.26	53.68	74.78	60.87	78.37	116.92	66.14
ENST00000395248	ALDOA	548.76	574.81	606.13	515.09	783.61	427.77	1540.06	1430.45	1859.05	1422.51	1481.85	959.22
ENST00000262374	ALG1	20.27	16.31	21.47	21.02	24.65	14.31	50.51	33.6	48.41	48.71	60.08	28.95
ENST00000266483	ALG10	1.27	1	1	1.11	1	1	2.78	6.76	2.88	4.83	1.22	9.04
ENST00000308742	ALG10B	1.39	1	1.01	1.18	1	1	1	1.43	1.02	1	1	3.26
ENST00000521508	ALG11	2.76	4.4	3.11	2.87	7.55	2.96	5.28	15.16	6.39	8.83	43.09	15.65
ENST00000330817	ALG12	12.96	13.04	13.21	11.8	11.51	13.3	8.17	6.25	8.03	9.81	6.1	5.01
ENST00000394780	ALG13	4.73	4.08	5.17	4.11	2.64	5.47	3.48	4.14	3.64	3.58	2.52	5.47
ENST00000370205	ALG14	10.41	8.65	9.41	13.33	13.68	7.34	2.07	14.31	5.57	3.86	19.63	9.2
ENST00000476832	ALG2	12.1	23.04	15.01	15.28	32.01	20.3	11.44	26.64	15.26	11.64	48.65	21.82
ENST00000239891	ALG5	18.96	28.5	22.54	20.16	44.39	18.48	27.15	48.07	30.51	23.35	93.8	33.24
ENST00000263440	ALG6	3.52	4.49	3.31	4.22	5.65	3.81	6.24	7.23	2.56	6.67	18.98	5.95
ENST00000299626	ALG8	34.32	24.15	26.5	35.6	32.48	28.78	19.4	28.17	11.94	18.21	63.24	31.91
ENST00000428306	ALG9	9.52	7.53	7.75	8.97	10.19	6.62	8.34	9.59	5.69	11.16	16.05	8.19
ENST00000216489	ALKBH1	5.67	4.44	5.02	7.35	7.12	7.23	7.5	4.6	4.87	6.44	7.65	7.23
ENST00000302708	ALKBH3	17.8	11.05	16.23	17.55	12.05	10.37	12.91	7.78	7.92	9.72	7.78	5.01
ENST00000292566	ALKBH4	4.62	4.8	3.97	5.1	4.9	5.86	5.68	6.41	9.59	3.13	4.88	7.99
ENST00000245812	ALKBH7	8.79	10.13	15.03	8.38	10.72	13.29	44.41	21.64	44.39	30.41	9.14	20.14
ENST00000264448	ALMS1	4.13	2.92	3.31	3.42	1.45	2.25	2.57	1.69	1.55	1.39	1	1.88
ENST00000458497	ALPK1	1.64	2.88	1.95	1.54	1.79	1.94	1.3	2.57	1.74	1.7	1.02	1.3
ENST00000264276	ALS2	9.49	12.24	11.52	10.94	14.73	7.89	5.89	7.87	6.43	9.12	10.89	5.44
ENST00000318962	ALS2CL	1.28	1.91	1.28	1.41	4.97	1.33	1	1	1.15	2.05	2.8	1
ENST00000382085	AMACR	3.42	6.82	4.22	4.51	6.4	3.35	12.17	10.44	11.24	7.63	8.07	5.93
ENST00000458649	AMBRA1	7.33	7.47	8.89	8.91	7.17	8.87	7.65	4.78	7.7	5.28	5.02	5.39
ENST00000368885	AMD1	59.74	77.28	43.94	70.78	90.04	70.83	45.21	69.8	21	40.14	71.28	54.57
ENST00000413459	AMDHD2	5.01	5.25	6.03	8.51	3.75	6	6.54	5.22	7.81	12.38	2.19	4.83
ENST00000290649	AMFR	54.91	37.07	48.11	45.13	57.63	35.81	55.41	45.65	57.91	51.2	97.69	41.48
ENST00000369864	AMIGO1	1.69	1.85	1.96	1.41	3.17	2.16	1	1.87	1.22	1.69	3.52	1.35
ENST00000266581	AMIGO2	6.62	2.95	5.48	4.86	2.67	1.23	8.39	2.69	5.99	3.95	6.43	1
ENST00000262844	AMMECR1	5	5.44	4.59	5.62	4.14	4.69	6.16	10.6	5.35	6.68	7.46	6.45
ENST00000272647	AMMECR1L	10.26	10.49	9.17	11.09	12.57	13.26	3.28	5.3	2.76	4.66	8.29	8.21
ENST00000281471	AMN1	1.01	1.48	1.08	1.5	2.74	1.7	1	3.75	1.47	1.29	7.27	3.6
ENST00000433060	AMOTL1	21.1	26.18	30.58	17.24	12.12	17.2	32.12	38.63	61.73	36.44	17.14	27.25
ENST00000359904	AMZ2	40.03	30.45	40.11	43.97	43.2	43.4	2.26	6.32	3.58	7.42	8.43	8.99
