,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Pde11a.7,0.208960162,-0.019362365,0.004,0.008,1,7,Pde11a
Gm5141.7,0.209028037,-0.008960332,0.001,0.004,1,7,Gm5141
Phactr4.7,0.20913892,0.010169257,0.061,0.051,1,7,Phactr4
Phax.7,0.209198298,-0.034187914,0.154,0.172,1,7,Phax
Ttll1.7,0.209255023,-0.022835252,0.019,0.026,1,7,Ttll1
Pde1a.7,0.209318856,-0.05186577,0.043,0.053,1,7,Pde1a
Recql5.7,0.20936105,0.029869401,0.017,0.012,1,7,Recql5
Zfp110.7,0.209467791,0.071505962,0.07,0.059,1,7,Zfp110
Bod1.7,0.209503013,0.033902361,0.118,0.104,1,7,Bod1
Nsmce2.7,0.209625844,-0.019357358,0.102,0.117,1,7,Nsmce2
Pinx1.7,0.209820034,-0.007085773,0.052,0.063,1,7,Pinx1
Gm6542.7,0.209845537,-0.005571913,0.032,0.025,1,7,Gm6542
Alkbh1.7,0.209923796,-0.060794201,0.062,0.073,1,7,Alkbh1
Mrps24.7,0.209934487,-0.05349061,0.204,0.221,1,7,Mrps24
Cbx5.7,0.209954197,0.036197699,0.313,0.291,1,7,Cbx5
Fyb.7,0.210017105,-0.018490804,0.004,0.008,1,7,Fyb
Mblac2.7,0.210093041,-0.035613007,0.01,0.015,1,7,Mblac2
2410131K14Rik.7,0.210147874,-0.034546906,0.014,0.02,1,7,2410131K14Rik
Pofut1.7,0.210242905,0.000506153,0.066,0.078,1,7,Pofut1
Slc25a36.7,0.210626796,-0.060733118,0.072,0.084,1,7,Slc25a36
Sergef.7,0.210769774,-0.031767699,0.02,0.027,1,7,Sergef
Mus81.7,0.211050273,0.071379668,0.03,0.023,1,7,Mus81
Ifi30.7,0.211157718,0.051139605,0.14,0.126,1,7,Ifi30
Zfand2a.7,0.211158928,-0.040520262,0.02,0.027,1,7,Zfand2a
Patz1.7,0.211199398,0.000126326,0.016,0.011,1,7,Patz1
Mapk1ip1.7,0.211380071,0.051758195,0.039,0.031,1,7,Mapk1ip1
Ywhaz.7,0.211460501,-0.042916038,0.45,0.467,1,7,Ywhaz
Zfp821.7,0.211474942,0.071510563,0.025,0.019,1,7,Zfp821
Rnf31.7,0.211487729,-0.037352474,0.039,0.048,1,7,Rnf31
Hist1h1c.7,0.211586398,-0.077246584,0.091,0.103,1,7,Hist1h1c
1700022I11Rik.7,0.211614134,-0.015642447,0.002,0.006,1,7,1700022I11Rik
Ccz1.7,0.211687858,-0.0447523,0.094,0.108,1,7,Ccz1
Gins4.7,0.211733479,0.009350967,0.056,0.046,1,7,Gins4
Pde9a.7,0.21186544,0.049160987,0.011,0.007,1,7,Pde9a
Sfmbt1.7,0.212003882,0.031008276,0.045,0.036,1,7,Sfmbt1
Knstrn.7,0.212050466,-0.014478658,0.011,0.017,1,7,Knstrn
Gm43774.7,0.21205612,0.018821068,0.004,0.002,1,7,Gm43774
Gm10029.7,0.212076213,-0.011840464,0.002,0.006,1,7,Gm10029
Fbxl12os.7,0.21209813,0.046182722,0.007,0.004,1,7,Fbxl12os
Gm10382.7,0.212251711,0.002049345,0.009,0.005,1,7,Gm10382
Arid5b.7,0.212252214,0.001004385,0.363,0.387,1,7,Arid5b
Itpa-ps1.7,0.212257984,0.010435691,0.004,0.002,1,7,Itpa-ps1
Ilf2.7,0.212384842,-0.043497355,0.168,0.184,1,7,Ilf2
Dcun1d5.7,0.212431245,-0.03244948,0.202,0.221,1,7,Dcun1d5
Ap1ar.7,0.212439184,-0.069034127,0.055,0.065,1,7,Ap1ar
Gm20939.7,0.21245597,0.033303209,0.006,0.004,1,7,Gm20939
Cyp51.7,0.212644306,-0.032211017,0.05,0.06,1,7,Cyp51
Stmnd1.7,0.212674143,-0.013924097,0.002,0.006,1,7,Stmnd1
Adamts18.7,0.21269583,0.012985704,0.004,0.002,1,7,Adamts18
Tmem107.7,0.21271615,0.114936562,0.132,0.119,1,7,Tmem107
Cdk16.7,0.212800618,-0.063028626,0.091,0.103,1,7,Cdk16
Gm15946.7,0.212864406,0.003077103,0.004,0.002,1,7,Gm15946
Bard1.7,0.212916005,0.018092475,0.006,0.004,1,7,Bard1
Ulk3.7,0.21295004,0.020876156,0.02,0.014,1,7,Ulk3
Gm10735.7,0.212965598,0.016755844,0.004,0.002,1,7,Gm10735
Tle1.7,0.212992192,-0.035566416,0.039,0.048,1,7,Tle1
Zbtb44.7,0.212996407,-0.048078544,0.058,0.069,1,7,Zbtb44
Gpc4.7,0.213022624,-0.060762463,0.086,0.099,1,7,Gpc4
Ccne2.7,0.213169616,-0.009936135,0.009,0.014,1,7,Ccne2
Sik2.7,0.21319348,-0.017044594,0.021,0.029,1,7,Sik2
Gm48067.7,0.213269383,0.002202009,0.004,0.002,1,7,Gm48067
Dnm2.7,0.213293765,0.043426272,0.084,0.099,1,7,Dnm2
