,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gm4739.3,0.889865093,-0.010520572,0.009,0.009,1,3,Gm4739
Gm4834.3,0.889915862,0.005310797,0.001,0.001,1,3,Gm4834
Gm44878.3,0.889983488,1.39E-05,0.001,0.001,1,3,Gm44878
Gm5191.3,0.89011874,0.000501745,0.001,0.001,1,3,Gm5191
2610001A08Rik.3,0.890186368,0.001924245,0.001,0.001,1,3,2610001A08Rik
Gm28187.3,0.890253996,0.007321394,0.001,0.001,1,3,Gm28187
Gm37154.3,0.89035544,0.000977457,0.001,0.001,1,3,Gm37154
9930014A18Rik.3,0.890456886,-0.000136443,0.001,0.001,1,3,9930014A18Rik
Wdr46-ps.3,0.890524517,-0.000262912,0.001,0.001,1,3,Wdr46-ps
Gm38230.3,0.890659783,-0.000297474,0.001,0.001,1,3,Gm38230
Has3.3,0.890659783,-0.001926157,0.001,0.001,1,3,Has3
Gm15512.3,0.890727416,0.00048916,0.001,0.001,1,3,Gm15512
Gm37824.3,0.890727416,-0.001322445,0.001,0.001,1,3,Gm37824
Gm11199.3,0.890795051,-0.001056349,0.001,0.001,1,3,Gm11199
Gm14963.3,0.890862687,-0.000473782,0.001,0.001,1,3,Gm14963
Pex2.3,0.890883956,-0.017663242,0.095,0.093,1,3,Pex2
Gm46565.3,0.890930323,-0.000450411,0.001,0.001,1,3,Gm46565
Gm18948.3,0.890930323,-0.001135215,0.001,0.001,1,3,Gm18948
Gm37902.3,0.89099796,-0.000775983,0.001,0.001,1,3,Gm37902
Rprml.3,0.89099796,-0.001456208,0.001,0.001,1,3,Rprml
Gm14176.3,0.891065598,-0.001106896,0.001,0.001,1,3,Gm14176
Xndc1.3,0.891077534,-0.018296724,0.02,0.02,1,3,Xndc1
Plgrkt.3,0.891127234,-0.126615973,0.173,0.168,1,3,Plgrkt
Myrip.3,0.891200876,-0.002313208,0.001,0.001,1,3,Myrip
Nrip3.3,0.891200876,-0.002679028,0.001,0.001,1,3,Nrip3
Gm36602.3,0.891268516,-0.000960534,0.001,0.001,1,3,Gm36602
Gm12511.3,0.891268516,-0.001386884,0.001,0.001,1,3,Gm12511
Gdap1l1.3,0.891268516,-0.00192375,0.001,0.001,1,3,Gdap1l1
Adgrb2.3,0.891268516,-0.00281377,0.001,0.001,1,3,Adgrb2
Gm38215.3,0.891336157,-0.001111352,0.001,0.001,1,3,Gm38215
Terf1.3,0.891343631,-0.044076934,0.059,0.059,1,3,Terf1
Wfs1.3,0.891353986,-0.02429584,0.037,0.037,1,3,Wfs1
Gm2991.3,0.891403799,-0.002047315,0.001,0.001,1,3,Gm2991
F530104D19Rik.3,0.891403799,-0.002660041,0.001,0.001,1,3,F530104D19Rik
Gm5552.3,0.891403799,-0.002935087,0.001,0.001,1,3,Gm5552
Kcnab3.3,0.891539085,-0.001880269,0.001,0.001,1,3,Kcnab3
4732414G09Rik.3,0.891539085,-0.004336248,0.001,0.001,1,3,4732414G09Rik
Tmem120a.3,0.891578894,-0.023241606,0.075,0.074,1,3,Tmem120a
Gm42777.3,0.891606729,-0.003029073,0.001,0.001,1,3,Gm42777
Gm15880.3,0.891674374,-0.002941545,0.001,0.001,1,3,Gm15880
Gm18821.3,0.89174202,-0.003625335,0.001,0.001,1,3,Gm18821
Pnpla8.3,0.891877795,-0.114353437,0.275,0.265,1,3,Pnpla8
Rabep2.3,0.891927434,-0.02209483,0.04,0.04,1,3,Rabep2
Gstp1.3,0.891940902,-0.075227832,0.188,0.185,1,3,Gstp1
Chpf2.3,0.892175739,-0.012621641,0.014,0.013,1,3,Chpf2
Vamp1.3,0.892384492,0.0004349,0.007,0.006,1,3,Vamp1
Hlcs.3,0.892698954,-0.025079988,0.027,0.026,1,3,Hlcs
Sept3.3,0.892768148,-0.009711258,0.001,0.001,1,3,3-Sep
Mrpl40.3,0.89282329,-0.035389618,0.136,0.134,1,3,Mrpl40
Itgb4.3,0.892881403,-0.046306273,0.007,0.008,1,3,Itgb4
Plscr3.3,0.892908427,-0.039511344,0.143,0.14,1,3,Plscr3
Acyp1.3,0.892993583,-0.027025779,0.061,0.06,1,3,Acyp1
Vax2.3,0.893088685,-0.005818906,0.007,0.006,1,3,Vax2
Pdpk1.3,0.893238486,-0.049127036,0.092,0.09,1,3,Pdpk1
Atg4d.3,0.893437195,-0.013493148,0.01,0.01,1,3,Atg4d
Pard3bos3.3,0.893447656,-0.003522749,0.001,0.001,1,3,Pard3bos3
Gm2670.3,0.893447656,-0.003682022,0.001,0.001,1,3,Gm2670
Esm1.3,0.893447656,-0.004434184,0.001,0.001,1,3,Esm1
Fosl1.3,0.893450434,-0.002965298,0.005,0.006,1,3,Fosl1
Tcte2.3,0.893571211,-0.002634911,0.001,0.001,1,3,Tcte2
Ctxn3.3,0.893571211,-0.006787863,0.001,0.001,1,3,Ctxn3
Omg.3,0.893658624,-0.004477291,0.003,0.003,1,3,Omg
Car7.3,0.893694769,-0.001393156,0.001,0.001,1,3,Car7
1700001G11Rik.3,0.893694769,-0.002323639,0.001,0.001,1,3,1700001G11Rik
Gm10248.3,0.893756549,-0.002985075,0.001,0.001,1,3,Gm10248
Ranbp10.3,0.893793648,-0.03379927,0.053,0.051,1,3,Ranbp10
Ccdc171.3,0.893873349,-0.00715245,0.028,0.028,1,3,Ccdc171
Gm11127.3,0.893941892,7.63E-05,0.001,0.001,1,3,Gm11127
Gm44552.3,0.893941892,-0.000671634,0.001,0.001,1,3,Gm44552
Gm37174.3,0.893941892,-0.001108286,0.001,0.001,1,3,Gm37174
Lhfpl5.3,0.893941892,-0.001279139,0.001,0.001,1,3,Lhfpl5
Gm48438.3,0.894003675,-0.001352344,0.001,0.001,1,3,Gm48438
