,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gm3788.9,0.785536175,0.002236464,0.002,0.002,1,9,Gm3788
Tma7-ps.9,0.785611558,0.006846332,0.002,0.002,1,9,Tma7-ps
Snora78.9,0.785611558,0.003645972,0.002,0.002,1,9,Snora78
Gm37809.9,0.785611558,0.003285771,0.002,0.002,1,9,Gm37809
Gm29666.9,0.785686943,0.018637785,0.002,0.002,1,9,Gm29666
Gm47662.9,0.785686943,0.010625044,0.002,0.002,1,9,Gm47662
Papolb.9,0.78576233,0.016082301,0.002,0.002,1,9,Papolb
Gm45828.9,0.78576233,0.012119374,0.002,0.002,1,9,Gm45828
Gm14388.9,0.78576233,0.008180624,0.002,0.002,1,9,Gm14388
Gm38300.9,0.78576233,0.007119561,0.002,0.002,1,9,Gm38300
Nif3l1.9,0.785830646,0.037051888,0.041,0.044,1,9,Nif3l1
Rnf227.9,0.78625246,-0.005518182,0.01,0.011,1,9,Rnf227
Gm42967.9,0.786271202,-0.006074129,0.003,0.004,1,9,Gm42967
Gnpnat1.9,0.786326747,-0.001276494,0.003,0.004,1,9,Gnpnat1
Gm32856.9,0.786382293,-0.004504086,0.003,0.004,1,9,Gm32856
Zfp592.9,0.786432377,0.058612512,0.066,0.064,1,9,Zfp592
Gm16399.9,0.78643784,-0.003385171,0.003,0.004,1,9,Gm16399
Rnf17.9,0.78684291,0.011244022,0.005,0.004,1,9,Rnf17
AC166172.1.9,0.787271179,-0.00055367,0.003,0.004,1,9,AC166172.1
Gm48624.9,0.787326512,0.007172014,0.005,0.004,1,9,Gm48624
Acrbp.9,0.787344286,-0.009392819,0.008,0.009,1,9,Acrbp
Tulp2.9,0.787382309,-0.00071884,0.003,0.004,1,9,Tulp2
Nol10.9,0.787382822,0.044049501,0.049,0.053,1,9,Nol10
Flrt3.9,0.787611417,0.03823108,0.031,0.034,1,9,Flrt3
Gm15050.9,0.787753694,0.032439442,0.023,0.025,1,9,Gm15050
Prkn.9,0.787771299,0.00072572,0.003,0.004,1,9,Prkn
Cdc5l.9,0.788119762,0.114772154,0.253,0.278,1,9,Cdc5l
Spon2.9,0.788197772,0.098713193,0.292,0.318,1,9,Spon2
Snrnp70.9,0.788201645,0.058982716,0.465,0.492,1,9,Snrnp70
Rsph3a.9,0.78830412,0.002699058,0.01,0.009,1,9,Rsph3a
Zswim1.9,0.78830412,-0.001246654,0.01,0.009,1,9,Zswim1
Glo1.9,0.788306284,0.027309281,0.094,0.1,1,9,Glo1
Sike1.9,0.788390905,0.061348824,0.11,0.118,1,9,Sike1
Gm38376.9,0.788605027,0.004938845,0.003,0.004,1,9,Gm38376
Fbxo36.9,0.788671403,0.055232631,0.021,0.02,1,9,Fbxo36
Nde1.9,0.788796736,0.046970823,0.057,0.062,1,9,Nde1
Cks1brt.9,0.788818555,0.066484556,0.026,0.025,1,9,Cks1brt
Tmppe.9,0.788885344,0.015813152,0.005,0.004,1,9,Tmppe
Clcn6.9,0.78893484,0.048080054,0.023,0.022,1,9,Clcn6
D630033A02Rik.9,0.788938586,0.006155231,0.003,0.004,1,9,D630033A02Rik
Tcea1.9,0.789036316,0.118900816,0.228,0.25,1,9,Tcea1
Gm45643.9,0.789046651,0.005712969,0.005,0.004,1,9,Gm45643
Cyb5d2.9,0.789110976,0.016054414,0.028,0.03,1,9,Cyb5d2
B930036N10Rik.9,0.789166873,0.018758381,0.007,0.006,1,9,B930036N10Rik
Ift57.9,0.789422572,0.065096581,0.076,0.08,1,9,Ift57
Rnf225.9,0.789423069,0.007312691,0.005,0.004,1,9,Rnf225
Hmgb1-ps6.9,0.789530626,-0.001059109,0.005,0.004,1,9,Hmgb1-ps6
Gm6543.9,0.789648093,0.010100776,0.002,0.001,1,9,Gm6543
Gm3160.9,0.789648093,0.009380693,0.002,0.001,1,9,Gm3160
Gm44907.9,0.789648093,0.005591394,0.002,0.001,1,9,Gm44907
Zfp874a.9,0.789656874,0.019621616,0.015,0.016,1,9,Zfp874a
Nat14.9,0.789706757,0.005001287,0.026,0.028,1,9,Nat14
Hfe.9,0.789719793,0.020175336,0.046,0.049,1,9,Hfe
Gm7565.9,0.789746353,0.014049453,0.002,0.001,1,9,Gm7565
E430024P14Rik.9,0.789746353,0.011676223,0.002,0.001,1,9,E430024P14Rik
Gm42700.9,0.789746353,0.007459529,0.002,0.001,1,9,Gm42700
Nod2.9,0.789746353,0.007059067,0.002,0.001,1,9,Nod2
Gm16379.9,0.789746353,0.004926099,0.002,0.001,1,9,Gm16379
Dyrk3.9,0.789844616,0.011448874,0.002,0.001,1,9,Dyrk3
Kcnmb3.9,0.789942883,0.006166147,0.002,0.001,1,9,Kcnmb3
Shcbp1l.9,0.789942883,0.005784196,0.002,0.001,1,9,Shcbp1l
Gm25541.9,0.789942883,0.005247019,0.002,0.001,1,9,Gm25541
Gm47205.9,0.789942883,0.00368748,0.002,0.001,1,9,Gm47205
Brf2.9,0.790032183,0.011184776,0.018,0.017,1,9,Brf2
Eif1-ps2.9,0.790041153,0.004002245,0.002,0.001,1,9,Eif1-ps2
Nipal4.9,0.790041153,0.002626765,0.002,0.001,1,9,Nipal4
A430110C17Rik.9,0.790139426,0.005677808,0.002,0.001,1,9,A430110C17Rik
Gm44194.9,0.790139426,0.005068364,0.002,0.001,1,9,Gm44194
Gm14221.9,0.790139426,0.00455699,0.002,0.001,1,9,Gm14221
Gm9290.9,0.790139426,0.00213739,0.002,0.001,1,9,Gm9290
Gm34586.9,0.790139426,0.001871782,0.002,0.001,1,9,Gm34586
Slc35c1.9,0.790195551,0.012018106,0.016,0.018,1,9,Slc35c1
Tjap1.9,0.790196148,0.059848649,0.039,0.042,1,9,Tjap1
Rpusd2.9,0.790237703,0.002449975,0.002,0.001,1,9,Rpusd2
1700041G16Rik.9,0.790237703,0.001852663,0.002,0.001,1,9,1700041G16Rik
Pld4.9,0.790335983,0.00086496,0.002,0.001,1,9,Pld4
Slc2a6.9,0.790335983,0.000497283,0.002,0.001,1,9,Slc2a6
Gm6293.9,0.790532554,0.001525522,0.002,0.001,1,9,Gm6293
Drd1.9,0.790532554,0.000357839,0.002,0.001,1,9,Drd1
Bclaf3.9,0.790624251,0.016410446,0.054,0.057,1,9,Bclaf3
Stk33.9,0.790630844,-0.000415606,0.002,0.001,1,9,Stk33
Gm49901.9,0.790729137,0.000515264,0.002,0.001,1,9,Gm49901
