,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Synpo2l.15,4.05E-45,0.382103455,0.069,0.002,7.17E-41,15,Synpo2l
Mlip.15,1.27E-43,0.735131882,0.092,0.003,2.24E-39,15,Mlip
Popdc3.15,1.66E-43,0.46005501,0.115,0.005,2.93E-39,15,Popdc3
Cryab.15,5.48E-43,2.403286831,0.747,0.259,9.70E-39,15,Cryab
Slc25a4.15,6.13E-43,2.377074659,0.931,0.661,1.09E-38,15,Slc25a4
Perm1.15,4.42E-42,0.365315477,0.057,0.001,7.83E-38,15,Perm1
Ndrg2.15,4.74E-42,1.70953669,0.471,0.085,8.38E-38,15,Ndrg2
Pkia.15,1.45E-41,1.404066874,0.333,0.043,2.57E-37,15,Pkia
H19.15,7.09E-41,2.659745131,0.77,0.263,1.25E-36,15,H19
Ak1.15,8.44E-40,1.95799334,0.46,0.089,1.49E-35,15,Ak1
Myl2.15,3.58E-39,2.120184202,0.103,0.005,6.34E-35,15,Myl2
Myh8.15,1.11E-38,0.966170308,0.046,0.001,1.97E-34,15,Myh8
Gapdh.15,1.69E-36,2.346353214,0.701,0.262,3.00E-32,15,Gapdh
Tceal5.15,1.67E-35,0.965572418,0.172,0.014,2.96E-31,15,Tceal5
Alpk3.15,1.82E-35,0.408565063,0.057,0.001,3.22E-31,15,Alpk3
Hspa1l.15,5.80E-35,0.553341977,0.046,0.001,1.03E-30,15,Hspa1l
Sparc.15,7.37E-35,-1.47782717,0.713,0.983,1.30E-30,15,Sparc
Cox7c.15,1.97E-34,1.747162047,0.874,0.61,3.49E-30,15,Cox7c
Mlxipl.15,2.63E-34,0.568711911,0.092,0.004,4.66E-30,15,Mlxipl
Mrln.15,2.85E-34,0.951735489,0.172,0.014,5.05E-30,15,Mrln
Vim.15,3.05E-34,-1.634235224,0.264,0.91,5.40E-30,15,Vim
Lrrc39.15,6.98E-34,0.684114514,0.126,0.008,1.24E-29,15,Lrrc39
Stac3.15,8.86E-34,0.720637191,0.138,0.009,1.57E-29,15,Stac3
Macrod1.15,2.17E-33,1.092091036,0.195,0.019,3.85E-29,15,Macrod1
1700120C14Rik.15,4.21E-33,0.450137758,0.092,0.004,7.46E-29,15,1700120C14Rik
Tcea3.15,6.07E-33,1.803154843,0.517,0.133,1.07E-28,15,Tcea3
Sgca.15,2.17E-32,0.450865283,0.08,0.003,3.84E-28,15,Sgca
Dcn.15,2.80E-32,-1.464991183,0.54,0.95,4.96E-28,15,Dcn
Ppp1r3c.15,3.35E-32,0.768980404,0.138,0.01,5.93E-28,15,Ppp1r3c
Nexn.15,9.46E-32,2.042943256,0.448,0.103,1.67E-27,15,Nexn
Plaat1.15,1.15E-31,0.465402852,0.069,0.002,2.03E-27,15,Plaat1
Mlf1.15,1.45E-31,1.336583157,0.287,0.042,2.57E-27,15,Mlf1
Col1a2.15,1.59E-31,-1.43851786,0.747,0.971,2.81E-27,15,Col1a2
Gm28653.15,1.90E-31,0.256664536,0.057,0.002,3.36E-27,15,Gm28653
Actb.15,2.30E-31,-1.180606938,0.483,0.965,4.07E-27,15,Actb
Tpd52l1.15,5.16E-31,0.307824874,0.069,0.003,9.14E-27,15,Tpd52l1
Rbm38.15,7.86E-31,0.822347872,0.172,0.016,1.39E-26,15,Rbm38
Myom2.15,8.15E-31,0.957377384,0.138,0.01,1.44E-26,15,Myom2
B2m.15,9.63E-31,-1.377400671,0.368,0.925,1.70E-26,15,B2m
H2-D1.15,1.09E-30,-1.748369636,0.126,0.809,1.93E-26,15,H2-D1
Neurl1a.15,1.23E-30,0.707675094,0.103,0.006,2.17E-26,15,Neurl1a
Arpp21.15,2.32E-30,0.388637496,0.069,0.003,4.11E-26,15,Arpp21
Ddit4l.15,4.83E-30,1.261340273,0.241,0.031,8.56E-26,15,Ddit4l
Anxa1.15,5.75E-30,-1.781775825,0.207,0.833,1.02E-25,15,Anxa1
Dusp27.15,6.53E-30,0.243961018,0.034,0.001,1.16E-25,15,Dusp27
Tnnc1.15,8.00E-30,2.153834718,0.103,0.006,1.42E-25,15,Tnnc1
Dtna.15,1.39E-29,0.72797075,0.138,0.011,2.46E-25,15,Dtna
Ptma.15,1.47E-29,-1.504478369,0.218,0.851,2.60E-25,15,Ptma
Ankrd9.15,1.63E-29,0.83680369,0.126,0.009,2.89E-25,15,Ankrd9
Ldhb.15,3.67E-29,1.500132465,0.287,0.045,6.49E-25,15,Ldhb
Fndc5.15,5.96E-29,0.816487628,0.115,0.008,1.06E-24,15,Fndc5
