,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Tcea1-ps1.1,0.001219317,-0.030865003,0.044,0.032,1,1,Tcea1-ps1
Snapc4.1,0.001222738,-0.012132217,0.026,0.017,1,1,Snapc4
Rpl37rt.1,0.001222834,-0.086486214,0.408,0.335,1,1,Rpl37rt
Ifi35.1,0.001235143,-0.078807517,0.174,0.141,1,1,Ifi35
Uts2r.1,0.00124169,-0.028122775,0.001,0.006,1,1,Uts2r
Fzd7.1,0.001244558,-0.025303525,0.063,0.047,1,1,Fzd7
Lmod2.1,0.001244803,-0.047426232,0,0.004,1,1,Lmod2
Hsf1.1,0.001245916,-0.041405368,0.072,0.055,1,1,Hsf1
Pcdhb20.1,0.001248227,0.009262848,0.014,0.008,1,1,Pcdhb20
Mthfsl.1,0.001252212,-0.00963683,0.04,0.028,1,1,Mthfsl
Slc35a5.1,0.001260163,0.005275848,0.066,0.05,1,1,Slc35a5
Zfyve28.1,0.001260209,0.001098996,0.007,0.003,1,1,Zfyve28
Upf1.1,0.001265558,-0.014767216,0.078,0.061,1,1,Upf1
Gm46323.1,0.001266037,-0.013496639,0.001,0.006,1,1,Gm46323
Bpgm.1,0.00126609,-0.03465533,0.045,0.033,1,1,Bpgm
Hoxa10.1,0.001269093,-0.072488304,0.08,0.062,1,1,Hoxa10
Rpa1.1,0.001278948,-0.016764511,0.053,0.039,1,1,Rpa1
Mlst8.1,0.001279151,0.003487084,0.015,0.009,1,1,Mlst8
St13.1,0.001286592,-0.071961229,0.561,0.464,1,1,St13
Zfp54.1,0.001286861,0.002528487,0.009,0.004,1,1,Zfp54
Krt20.1,0.001287413,-0.022368782,0.002,0.008,1,1,Krt20
Cbx7.1,0.001287454,-0.063500922,0.014,0.024,1,1,Cbx7
Sipa1l2.1,0.001290602,-0.002745041,0.015,0.009,1,1,Sipa1l2
Zfp518a.1,0.001296458,-0.03260553,0.043,0.03,1,1,Zfp518a
Dffb.1,0.001296792,-0.02556014,0.036,0.025,1,1,Dffb
Ap4b1.1,0.001298177,-0.015614019,0.024,0.016,1,1,Ap4b1
Col8a2.1,0.001298205,-0.155312734,0.05,0.065,1,1,Col8a2
Gm6055.1,0.001299455,0.00590175,0.015,0.009,1,1,Gm6055
